wl,val
360,8.870006
361,8.964713
362,9.058929
363,9.152614
364,9.245785
365,9.338398
366,9.430429
367,9.521858
368,9.612636
369,9.702774
370,9.792225
371,9.738943
372,9.685339
373,9.631364
374,9.577043
375,9.5223255
376,9.467217
377,9.411722
378,9.355788
379,9.2994375
380,9.242616
381,9.310598
382,9.377568
383,9.443509
384,9.508364
385,9.572059
386,9.6345825
387,9.695861
388,9.755841
389,9.814444
390,9.871648
391,10.349459
392,10.82317
393,11.29261
394,11.7575445
395,12.217724
396,12.672942
397,13.122925
398,13.567414
399,14.006117
400,14.438785
401,14.528474
402,14.614504
403,14.696722
404,14.774954
405,14.849044
406,14.918838
407,14.984115
408,15.044718
409,15.100474
410,15.151189
411,15.085035
412,15.014984
413,14.940886
414,14.862686
415,14.780258
416,14.6935005
417,14.602327
418,14.50662
419,14.406348
420,14.301408
421,14.059953
422,13.816402
423,13.5708275
424,13.32334
425,13.074011
426,12.823011
427,12.570457
428,12.316518
429,12.06132
430,11.805117
431,11.882802
432,11.950108
433,12.006997
434,12.053431
435,12.089457
436,12.1151495
437,12.1306095
438,12.1359005
439,12.131395
440,12.117023
441,12.024719
442,11.926003
443,11.820954
444,11.7100315
445,11.593579
446,11.472143
447,11.345844
448,11.215236
449,11.080801
450,10.942738
451,10.698012
452,10.455506
453,10.215388
454,9.978176
455,9.743918
456,9.512984
457,9.285688
458,9.062088
459,8.842569
460,8.627084
461,8.389106
462,8.156878
463,7.9304724
464,7.7099037
465,7.495116
466,7.2862372
467,7.083193
468,6.8859053
469,6.6943593
470,6.5084643
471,6.3503103
472,6.1965113
473,6.047088
474,5.901889
475,5.7608857
476,5.624021
477,5.491189
478,5.362381
479,5.23739
480,5.116211
481,4.963518
482,4.816095
483,4.6737375
484,4.5363355
485,4.4037113
486,4.275667
487,4.1520634
488,4.032684
489,3.9174683
490,3.8062224
491,3.724981
492,3.6463141
493,3.5700862
494,3.4962418
495,3.424694
496,3.35542
497,3.2882662
498,3.2231824
499,3.1601431
500,3.099013
501,3.0339482
502,2.9709232
503,2.9098313
504,2.8506565
505,2.7932973
506,2.7377079
507,2.6838129
508,2.6315262
509,2.580835
510,2.5316691
511,2.4806006
512,2.4310648
513,2.3829837
514,2.336341
515,2.2910795
516,2.2471359
517,2.2044673
518,2.1630182
519,2.1227732
520,2.0836675
521,2.0572438
522,2.031539
523,2.0065274
524,1.9821869
525,1.9584781
526,1.9354229
527,1.9129757
528,1.8911244
529,1.8698472
530,1.849128
531,1.8184819
532,1.7886237
533,1.7595661
534,1.7312464
535,1.7036705
536,1.6767988
537,1.650594
538,1.6250699
539,1.6001697
540,1.5759069
541,1.5565976
542,1.5377691
543,1.5194039
544,1.5014907
545,1.4840192
546,1.4669815
547,1.4503486
548,1.4341128
549,1.4182719
550,1.4028076
551,1.382789
552,1.3632399
553,1.3441242
554,1.325458
555,1.3071957
556,1.2893431
