wl,val
360,0.64179844
361,0.6575989
362,0.6737143
363,0.6901487
364,0.70691144
365,0.7240056
366,0.7414407
367,0.7592207
368,0.7773529
369,0.7958457
370,0.8147044
371,0.82194895
372,0.8292651
373,0.8366468
374,0.8441004
375,0.85161936
376,0.85920936
377,0.86687064
378,0.8746001
379,0.8824014
380,0.89027125
381,0.91046304
382,0.93104875
383,0.9520365
384,0.973436
385,0.99525166
386,1.0174929
387,1.0401676
388,1.0632833
389,1.0868465
390,1.1108675
391,1.1836277
392,1.2581534
393,1.3344834
394,1.4126545
395,1.4927032
396,1.5746703
397,1.6585934
398,1.7445128
399,1.8324685
400,1.9225036
401,1.9690366
402,2.0164967
403,2.0649009
404,2.1142685
405,2.1646132
406,2.2159564
407,2.2683082
408,2.3216906
409,2.3761208
410,2.4316182
411,2.4699233
412,2.5088272
413,2.548343
414,2.5884838
415,2.6292555
416,2.6706634
417,2.7127154
418,2.7554207
419,2.7987888
420,2.8428252
421,2.8607235
422,2.878582
423,2.8963814
424,2.9141285
425,2.9318116
426,2.9494226
427,2.966951
428,2.9843972
429,3.0017486
430,3.0189905
431,3.1241388
432,3.2315512
433,3.3412738
434,3.45333
435,3.567765
436,3.6846173
437,3.8039303
438,3.925706
439,4.050058
440,4.17694
441,4.2820444
442,4.389176
443,4.498282
444,4.6094284
445,4.7226343
446,4.8379807
447,4.9553967
448,5.074961
449,5.196732
450,5.3206477
451,5.394545
452,5.469348
453,5.5449705
454,5.621503
455,5.6988716
456,5.7770996
457,5.856241
458,5.936213
459,6.0171065
460,6.0988126
461,6.1617203
462,6.2249904
463,6.288611
464,6.352574
465,6.41681
466,6.481425
467,6.5463524
468,6.611573
469,6.677085
470,6.7428703
471,6.832739
472,6.923453
473,7.0150557
474,7.1074347
475,7.200613
476,7.294603
477,7.3893986
478,7.485053
479,7.581421
480,7.678564
481,7.7217164
482,7.7643275
483,7.8063126
484,7.8477764
485,7.8886447
486,7.9288645
487,7.968437
488,8.007269
489,8.045464
490,8.082925
491,8.177102
492,8.271854
493,8.367021
494,8.462633
495,8.558712
496,8.655309
497,8.752224
498,8.84954
499,8.947335
500,9.045413
501,9.126352
502,9.207258
503,9.28803
504,9.3688135
505,9.449479
506,9.530055
507,9.610475
508,9.69065
509,9.770724
510,9.850613
511,9.916804
512,9.982501
513,10.047589
514,10.112208
515,10.176286
516,10.239773
517,10.302676
518,10.364835
519,10.42647
520,10.487418
521,10.607364
522,10.72762
523,10.848179
524,10.969004
525,11.089995
526,11.211313
527,11.3328285
528,11.454547
529,11.576406
530,11.698418
531,11.752871
532,11.806305
533,11.858856
534,11.910356
535,11.960954
536,12.010568
537,12.059028
538,12.106592
539,12.153001
540,12.198457
541,12.277201
542,12.3553
543,12.432795
544,12.509617
545,12.585774
546,12.661378
547,12.736166
548,12.810218
549,12.88358
550,12.9561615
551,12.981803
552,13.006256
553,13.029266
554,13.051108
555,13.071484
556,13.090555
557,13.108408
558,13.1248255
559,13.140035
560,13.153788
561,13.171275
562,13.187499
563,13.202429
564,13.216096
565,13.228455
566,13.239531
567,13.249331
568,13.257836
569,13.265067
570,13.2710085
571,13.318852
572,13.365749
573,13.411726
574,13.456775
575,13.50089
576,13.544054
577,13.586275
578,13.627538
579,13.66785
580,13.707208
581,13.651462
582,13.594134
583,13.535243
584,13.474786
585,13.412785
586,13.349294
587,13.284262
588,13.217763
589,13.149798
590,13.08036
591,13.13408
592,13.186977
593,13.23912
594,13.290442
595,13.340982
596,13.390705
597,13.439604
598,13.487687
599,13.534946
600,13.58138
601,13.600856
602,13.619397
603,13.636976
604,13.653634
605,13.66933
606,13.684105
607,13.697929
608,13.710834
609,13.722776
610,13.733797
611,13.720944
612,13.70712
613,13.692287
614,13.676494
615,13.659733
616,13.641992
617,13.62329
618,13.603623
619,13.583009
620,13.561436
621,13.500109
622,13.437799
623,13.37454
624,13.310327
625,13.245187
626,13.179123
627,13.112175
628,13.044343
629,12.975613
630,12.906037
631,12.910298
632,12.913681
633,12.916202
634,12.917853
635,12.918627
636,12.918546
637,12.917552
638,12.915719
639,12.912984
640,12.909409
641,12.842024
642,12.77385
643,12.704948
644,12.635279
645,12.564916
646,12.4938135
647,12.422011
648,12.349523
649,12.276346
650,12.202509
651,12.186802
652,12.170243
653,12.152859
654,12.1346655
655,12.115623
656,12.095772
657,12.075072
658,12.053553
659,12.031213
660,12.008071
661,12.012091
662,12.015181
663,12.01731
664,12.018485
665,12.01869
666,12.017937
667,12.01622
668,12.013536
669,12.00987
670,12.005217
671,11.911485
672,11.817299
673,11.722683
674,11.6276455
675,11.532221
676,11.436392
677,11.340209
678,11.24365
679,11.146782
680,11.049581
681,10.887803
682,10.726242
683,10.564889
684,10.403809
685,10.243005
686,10.082532
687,9.922381
688,9.762613
689,9.6032295
690,9.444283
691,9.426708
692,9.40831
693,9.389079
694,9.369034
695,9.348172
696,9.326487
697,9.304002
698,9.280674
699,9.256567
700,9.231639
701,9.216848
702,9.201134
703,9.184512
704,9.166993
705,9.148528
706,9.129198
707,9.1089525
708,9.087827
709,9.065793
710,9.042891
711,8.83194
712,8.622529
713,8.414651
714,8.208364
715,8.003685
716,7.8006687
717,7.5993347
718,7.3996983
719,7.2018147
720,7.0056944
721,7.0487776
722,7.0902023
723,7.1300244
724,7.168188
725,7.204746
726,7.23966
727,7.272951
728,7.304628
729,7.3346815
730,7.363148
731,7.3577895
732,7.351395
733,7.3439074
734,7.335403
735,7.325836
736,7.315256
737,7.303666
738,7.291066
739,7.277483
740,7.262915
741,7.087348
742,6.9137444
743,6.74213
744,6.5724926
745,6.4048634
746,6.2392497
747,6.075678
748,5.9141455
749,5.754658
750,5.5972385
751,5.392389
752,5.1906
753,4.991877
754,4.7962284
755,4.603642
756,4.414135
757,4.2276845
758,4.044308
759,3.8639817
760,3.6867187
761,3.8076472
762,3.9252908
763,4.0396748
764,4.1508164
765,4.258749
766,4.3635077
767,4.4651194
768,4.563635
769,4.659067
770,4.7514415
771,4.6734
772,4.596211
773,4.5198855
774,4.4444127
775,4.3698044
776,4.296058
777,4.223193
778,4.151181
779,4.080054
780,4.009781
781,3.967543
782,3.925519
783,3.883718
784,3.842148
785,3.800812
786,3.7597241
787,3.7188756
788,3.6782985
789,3.6379726
790,3.5979135
791,3.5262218
792,3.4556134
793,3.3860614
794,3.3175802
795,3.2501493
796,3.1837642
797,3.1184208
798,3.0541048
799,2.9908216
800,2.9285438
801,2.854435
802,2.781654
803,2.7101905
804,2.6400201
805,2.5711432
806,2.5035393
807,2.4371877
808,2.3720791
809,2.3081908
810,2.2455177
811,2.2393754
812,2.2329519
813,2.2262623
814,2.2193148
815,2.2121172
