wl,intensity
300.5,0.0000011379
301,0.000011651
301.5,0.000015813
302,0.000012083
302.5,0.0000080303
303,0.0000044411
303.5,0.0000048252
304,0.0000051401
304.5,0.0000035739
305,0.0000054825
305.5,0.0000092567
306,0.0000096789
306.5,0.00001453
307,0.000014224
307.5,0.0000061839
308,0.0000039218
308.5,0.0000030866
309,0.0000010569
309.5,0.0000061038
310,0.0000069733
310.5,0.0000027773
311,0.0000040034
311.5,0.0000027915
312,0.0000036752
312.5,0.0000035088
319,1.1221e-7
319.5,0.000003344
320,0.0000066348
320.5,0.0000028884
321,0.0000045198
321.5,0.0000049537
322,0.000010341
322.5,0.000016292
323,0.000015043
323.5,0.000015608
324,0.0000080655
324.5,0.0000067852
325,0.0000096445
325.5,0.0000081584
326,0.000009182
326.5,0.0000022449
327.5,3.6166e-7
328,0.0000044144
328.5,0.000016554
329,0.000022698
329.5,0.000023449
330,0.000020906
330.5,0.000015935
331,0.000012131
331.5,0.000012995
332,0.000015051
332.5,0.000017458
333,0.000021105
333.5,0.000020257
334,0.000014803
334.5,0.000012517
335,0.0000069309
335.5,0.0000033418
336,0.0000084728
336.5,0.0000070747
337,0.0000095008
337.5,0.000016284
338,0.000018811
338.5,0.000021204
339,0.000019508
339.5,0.000012173
340,0.0000094413
340.5,0.0000098352
341,0.0000070651
341.5,0.0000023542
342,1.1843e-7
342.5,0.0000024997
343,0.0000038176
343.5,0.000005348
344,0.0000054134
344.5,0.0000083905
345,0.000011628
345.5,0.000013351
346,0.000013351
346.5,0.00001377
347,0.000015569
347.5,0.000018169
348,0.000014215
348.5,0.0000085704
349,0.0000033061
349.5,7.331e-7
350,0.0000017149
350.5,0.0000020308
351,0.000003449
351.5,0.0000048236
352,0.0000074435
352.5,0.000011033
353,0.0000095864
353.5,0.0000095523
354,0.00001131
354.5,0.000019245
355,0.000028333
355.5,0.000033817
356,0.000032008
356.5,0.00002772
357,0.000028199
357.5,0.000031449
358,0.000038183
358.5,0.000034993
359,0.000022347
359.5,0.0000076684
360.5,3.5407e-7
361,0.0000038603
361.5,0.0000065183
362,0.0000045643
362.5,0.000005256
363,0.0000158
363.5,0.000025063
364,0.000033638
364.5,0.000032165
365,0.000026957
365.5,0.000025305
366,0.000024431
366.5,0.000027161
367,0.000028412
367.5,0.000033287
368,0.000035336
368.5,0.000037415
369,0.000033912
369.5,0.000026023
370,0.000019083
370.5,0.0000097857
371,0.000005769
371.5,0.0000037324
372,0.0000069414
372.5,0.000013569
373,0.000022055
373.5,0.000025378
374,0.00002391
374.5,0.000024774
375,0.00002544
375.5,0.000028059
376,0.000025297
376.5,0.000022069
377,0.000020616
377.5,0.000024124
378,0.000029618
378.5,0.000031049
379,0.000026759
379.5,0.000021856
380,0.00001907
380.5,0.000019299
381,0.000023264
381.5,0.000026167
382,0.000025238
382.5,0.000026515
383,0.000024054
383.5,0.000022346
384,0.000019298
384.5,0.000014056
385,0.000011038
385.5,0.000015533
386,0.000022666
386.5,0.000029573
387,0.000027702
387.5,0.000021682
388,0.000020743
388.5,0.000022879
389,0.000026682
389.5,0.000030951
390,0.000031893
390.5,0.000030474
391,0.000032177
391.5,0.000032482
392,0.000030151
392.5,0.00003253
393,0.000032123
393.5,0.000032573
394,0.000035249
394.5,0.000033146
395,0.000034944
395.5,0.000034889
396,0.000036423
396.5,0.000039856
397,0.000043231
397.5,0.000044492
398,0.000042878
398.5,0.000040777
399,0.000036439
399.5,0.000036456
400,0.000038997
400.5,0.000041121
401,0.000043633
401.5,0.000041697
402,0.000038168
402.5,0.00003558
403,0.000032736
403.5,0.000038195
404,0.000040783
404.5,0.000043621
405,0.000043922
405.5,0.00003995
406,0.000039388
406.5,0.000042122
407,0.000042972
407.5,0.000042598
408,0.000038476
408.5,0.000038186
409,0.000039443
409.5,0.00004743
410,0.000053947
