wl,intensity
404.5,0.000003279
405,2.8107e-7
412,0.0000058335
412.5,0.000041846
413,0.00010341
413.5,0.00018277
414,0.00018663
414.5,0.00016648
415,0.00011877
415.5,0.000078126
416,0.00010748
416.5,0.00017787
417,0.0002925
417.5,0.00038765
418,0.00043171
418.5,0.00044293
419,0.0004535
419.5,0.00054051
420,0.00065845
420.5,0.00075803
421,0.00082793
421.5,0.00088861
422,0.00095278
422.5,0.0010197
423,0.0011215
423.5,0.0011843
424,0.0012377
424.5,0.0013012
425,0.001373
425.5,0.0014778
426,0.0015858
426.5,0.0016567
427,0.001753
427.5,0.0018495
428,0.0019495
428.5,0.0020773
429,0.0021953
429.5,0.0023608
430,0.0024727
430.5,0.0025497
431,0.0026102
431.5,0.0027049
432,0.0028774
432.5,0.0030581
433,0.0031846
433.5,0.003244
434,0.003324
434.5,0.0034697
435,0.0036344
435.5,0.0037656
436,0.003855
436.5,0.0039405
437,0.0040721
437.5,0.0041926
438,0.0042832
438.5,0.0043631
439,0.0044833
439.5,0.00462
440,0.0048137
440.5,0.0049775
441,0.005083
441.5,0.0051385
442,0.0051272
442.5,0.005081
443,0.0049928
443.5,0.0048893
444,0.0047964
444.5,0.0047662
445,0.0047424
445.5,0.0046153
446,0.0044569
446.5,0.0042668
447,0.0041006
447.5,0.0039915
448,0.003838
448.5,0.0036826
449,0.0034378
449.5,0.003191
450,0.0029256
450.5,0.0027482
451,0.0025686
451.5,0.0023839
452,0.0021913
452.5,0.002036
453,0.0019498
453.5,0.0018193
454,0.0017032
454.5,0.0015774
455,0.0015008
455.5,0.0014597
456,0.001376
456.5,0.0012982
457,0.0012261
457.5,0.0011544
458,0.0011257
458.5,0.0010631
459,0.00099702
459.5,0.00094726
460,0.0008936
460.5,0.00084936
461,0.0008359
461.5,0.000812
462,0.0008194
462.5,0.00078621
463,0.00071916
463.5,0.00065921
464,0.00061238
464.5,0.00056156
465,0.00050081
465.5,0.00046285
466,0.00045546
466.5,0.00048024
467,0.00045607
467.5,0.00044789
468,0.00046066
468.5,0.00047847
469,0.00050155
469.5,0.00047611
470,0.00041893
470.5,0.00039363
471,0.00038651
471.5,0.00039045
472,0.00041355
472.5,0.00040304
473,0.0003912
473.5,0.00039023
474,0.00036341
474.5,0.0003585
475,0.00032094
475.5,0.00031676
476,0.00030918
476.5,0.00031012
477,0.00024974
